"Rec No","Voyconid","Voyconvgeptr","Voyconcontainer","Voyconportorigin"
477,0,2082,"ZCSU8753612    ",0
478,0,2083,"GESU9254736    ",0
479,0,2084,"SZLU9629595    ",0
480,0,2085,"SMLU7864368    ",0
481,0,2086,"SMLU8304413    ",0
483,0,2088,"UESU5052197    ",0
484,0,2089,"MAGU5748181    ",0
485,0,2090,"CMAU5794504    ",0
486,0,2091,"SMLU8304413    ",0
488,0,2092,"CMAU5794504    ",0
489,0,2087,"SMLU7852979    ",0
490,0,2093,"SMLU7848520    ",0
491,0,2094,"CAXU8127510    ",0
492,0,2095,"TRLU162310     ",0
493,0,2096,"SEFU4211780    ",0
494,0,2097,"TGHU7996359    ",0
495,0,2098,"CLHU8323146    ",0
496,0,2099,"SEFU4211780    ",0
497,0,2100,"FCIU9266455    ",0
498,0,2101,"AMFU8907305    ",0
499,0,2102,"CLHU832146     ",0
500,0,2103,"FCLU8135553    ",0
501,0,2104,"AMFU8907305    ",0
502,0,2105,"TRLU9670823    ",0
503,0,2106,"SEFU4501834    ",0
504,0,2107,"SMLU7870083    ",0
505,0,2108,"GLDU7446973    ",0
506,0,2109,"XINU8180424    ",0
507,0,2111,"               ",0
508,0,2112,"               ",0
511,0,2113,"SMLU7822341    ",0
512,0,2114,"               ",0
513,0,2115,"SMLU7871710    ",0
514,0,2116,"SEFU4503098    ",0
515,0,2117,"CAXU8014154    ",0
516,0,2118,"SEFU4214222    ",0
517,0,2119,"ZCSU8402080    ",0
519,0,2120,"CMAU5793880    ",0
520,0,2122,"SMLU7851490    ",0
521,0,2123,"BHCU4941019    ",0
522,0,2124,"FCIU8067654    ",0
523,0,2125,"FCIU8067654    ",0
524,0,2126,"FCIU8067654    ",0
525,0,2127,"CGMU4903851    ",0
526,0,2128,"SEFU4504237    ",0
527,0,2129,"SEFU4504237    ",0
528,0,2130,"SEFU4504237    ",0
529,0,2131,"JERMAIHA       ",0
530,0,2132,"JERMAIHA       ",0
531,0,2133,"SMLU7874854    ",0
532,0,2134,"SEFU4504237    ",0
533,0,2135,"CAIU8025692    ",0
534,0,2136,"               ",0
535,0,2137,"ECMU9943105    ",0
539,0,2139,"SMLU7842564    ",0
541,0,2140,"CAIU9230095    ",0
542,0,2141,"SMLU7830882    ",0
543,0,2142,"SMLU7875228    ",0
544,0,2143,"PAUL           ",0
545,0,2144,"ISL            ",0
546,0,2145,"SYD            ",0
547,0,2146,"GATU8505472    ",0
548,0,2147,"GATU8505472    ",0
549,0,2148,"TGHU7743221    ",0
550,0,2149,"2356498        ",0
551,0,2150,"FCIU8800123    ",0
553,0,2151,"FCIU8800123    ",0
554,0,2152,"FSCU9505559    ",0
555,0,2153,"GATU8505472    ",0
556,0,2154,"GESU5970687    ",0
557,0,2155,"TCNU8760624    ",0
558,0,2156,"DGTU9139472    ",0
559,0,2157,"CAXU9980717    ",0
560,0,2158,"CAXU9980717    ",0
562,0,2159,"CAXU9980717    ",0
563,0,2160,"SMLU7868430    ",0
564,0,2161,"BMOU5861940    ",0
565,0,2162,"TCNU8760624    ",0
567,0,2163,"TCNU8760624    ",0
568,0,2164,"SEFU4502949    ",0
569,0,2165,"SEFU2001640    ",0
572,0,2138,"SMLU7854380    ",0
573,0,2166,"DGTU9139472    ",0
575,0,2167,"CAIU8285391    ",0
576,0,2168,"SMLU7820879    ",0
577,0,2169,"SEFU4502614    ",0
578,0,2170,"SEFU4202263    ",0
579,0,2171,"SMLU4101330A   ",0
580,0,2172,"TCNU8904632    ",0
581,0,2173,"UESU4782539    ",0
582,0,2174,"TCNU4557181    ",0
583,0,2175,"FCIU9353966    ",0
584,0,2176,"TCLU8574338    ",0
585,0,2177,"TCLU8574338    ",0
586,0,2178,"1254664        ",0
587,0,2179,"TCLU8574338    ",0
588,0,2180,"FSCU9757587    ",0
589,0,2181,"SMLU2564650    ",0
