"Rec No","Voyconid","Voyconvgeptr","Voyconcontainer","Voyconportorigin","Seal"
         676,            0,          639,"UESU4531960",            0,
         677,            0,          640,"TCNU9333899",            0,
         678,            0,          641,"SMLU7845291",            0,
         679,            0,          642,"FCIU8175540",            0,
         680,            0,          643,"SMLU7841383",            0,
         681,            0,          644,"CRSU9312979",            0,
         682,            0,          645,"GLDU7162067",            0,
         683,            0,          646,"SMLU7864033",            0,
         684,            0,          647,"TCKU9746429",            0,
         685,            0,          648,"FCIU8880495",            0,
         686,            0,          649,"SMLU7819918",            0,
         687,            0,          650,"FCIU9350777",            0,
         688,            0,          652,"FSCU6325527",            0,
         689,            0,          653,"BSIU9074573",            0,
         690,            0,          654,"FSCU6098378",            0,
         691,            0,          655,"GLDU7086774",            0,
         692,            0,          656,"GLDU7086774",            0,
         693,            0,          657,"GESU5800510",            0,
         694,            0,          658,"TCKU9552629",            0,
         695,            0,          651,"FCIU8877300",            0,
         696,            0,          659,"GLDU5550510",            0,
         697,            0,          660,"TTNU307049",            0,
         698,            0,          661,"TTNU3070490",            0,
         699,            0,          662,"FSCU9793100",            0,
         700,            0,          663,"FCIU8888325",            0,
         701,            0,          664,"SEGU4015754",            0,
         702,            0,          665,"SMLU2539977",            0,
         703,            0,          666,"FCIU9340017",            0,
         704,            0,          667,"75890-1",            0,
         705,            0,          668,"GLDU0758901",            0,
         706,            0,          669,"TRLU8115723",            0,
         707,            0,          670,"BHCU4921671",            0,
         708,            0,          671,"CAXU6703241",            0,
         709,            0,          672,"GESU5516524",            0,
         710,            0,          673,"SMLU7838688",            0,
         711,            0,          674,"SMLU7857651",            0,
         712,            0,          675,"SMLU7852372",            0,
         713,            0,          676,"FSCU6294452",            0,
         714,            0,          677,"TTNU1538046",            0,
         715,            0,          678,"TKU9188902",            0,
         716,            0,          679,"FCIU8881526",            0,
         717,            0,          680,"SMLU7863633",            0,
         718,            0,          681,"TGHU8628942",            0,
         719,            0,          682,"SMLU7818737",            0,
         720,            0,          683,"FCIU8087368",            0,
         721,            0,          684,"FCIU8463721",            0,
         722,            0,          685,"GESU1359556",            0,
         724,            0,          686,"GLDU0851336",            0,
         725,            0,          687,"SMLU7836617",            0,
         726,            0,          688,"SMLU7839088",            0,
         727,            0,          689,"SMLU7861420",            0,
         728,            0,          690,"SMLU7828329",            0,
         729,            0,          691,"TCNU9709245",            0,
         730,            0,          692,"SMLU7861420",            0,
         731,            0,          693,"SMLU7862391",            0,
         732,            0,          694,"CRSU9017736",            0,
         733,            0,          695,"FCIU8078601",            0,
         734,            0,          696,"SMLU2541779",            0,
         735,            0,          697,"FCIU8078601",            0,
         736,            0,          698,"SMLU7849384",            0,
         737,            0,          699,"TCNU6111115",            0,
         738,            0,          700,"SMLU7807481",            0,
         739,            0,          701,"SMLU7823538",            0,
         740,            0,          702,"TCKU9667850",            0,
         741,            0,          703,"GESU6757254",            0,
         742,            0,          704,"FSCU9529381",            0,
         743,            0,          705,"FCIU8115557",            0,
         744,            0,          706,"FCIU3808055",            0,
         745,            0,          707,"SMLU7854230",            0,
         746,            0,          708,"SMLU7844818",            0,
         747,            0,          709,"TGHU7930264",            0,
         748,            0,          710,"SMLU7834635",            0,
         750,            0,          711,"AMFU8593565",            0,
         751,            0,          712,"GESU4245916",            0,
         752,            0,          713,"SMLU7855659",            0,
         753,            0,          714,"AMFU8600068",            0,
         754,            0,          715,"TCKU9211406",            0,
         755,            0,          716,"FSCU6156026",            0,
         756,            0,          717,"GESU6914630",            0,
         757,            0,          718,"CAXU9935301",            0,
         758,            0,          719,"TCKU2991609",            0,
         759,            0,          720,"CRXU-925628",            0,
         760,            0,          721,"CRXU-925628",            0,
         761,            0,          722,"KKTU7289855",            0,
         762,            0,          723,"GESU5426061",            0,
         763,            0,          724,"GVCU5215020",            0,
         764,            0,          725,"SMLU5456120",            0,
         765,            0,          726,"CLHU8660609",            0,
         766,            0,          727,"SMLU7861625",            0,
         767,            0,          729,"SMLU7865169",            0,
         768,            0,          728,"TGHU8476773",            0,
         769,            0,          730,"BHCU3105040",            0,
         772,            0,          731,"TGHU9361022",            0,
         773,            0,          732,"SMLU7823327",            0,
         774,            0,          733,"SMLU2550092",            0,
         775,            0,          734,"FSCU6543175",            0,
         776,            0,          735,"BSIU2755765",            0,
         777,            0,          736,"SMLU7863150",            0,
         778,            0,          737,"GLDU7346439",            0,
         779,            0,          738,"UESU508018-",            0,
         780,            0,          739,"TTNU1497939",            0,
         781,            0,          741,"TTNU3108609",            0,
         782,            0,          742,"FCIU9360219",            0,
         783,            0,          744,"TGHU8063189",            0,
         784,            0,          745,"TGHU3419019",            0,
         785,            0,          746,"SEGU4016489",            0,
         787,            0,          747,"FSCU9826040",            0,
         788,            0,          748,"SMLU7831174",            0,
         790,            0,          749,"SMLU7832885",            0,
         791,            0,          752,"GESU5557014",            0,
         792,            0,          754,"TRLU6873874",            0,
         793,            0,          755,"SMLU7829942",            0,
         794,            0,          756,"SMLU7817617",            0,
         795,            0,          757,"TCNU9413438",            0,
         796,            0,          758,"TCKU9263190",            0,
         797,            0,          759,"GESU6754173",            0,
         798,            0,          760,"CRXU9863633",            0,
         799,            0,          761,"SMLU7836427",            0,
         800,            0,          762,"TCNU9784059",            0,
         801,            0,          764,"TCNU6233520",            0,
         802,            0,          763,"SMLU7845141",            0,
         803,            0,          765,"CAIU8709015",            0,
         804,            0,          766,"SMLU7869884",            0,
         805,            0,          767,"SMLU7868661",            0,
         807,            0,          769,"GESU4362260",            0,
         808,            0,          770,"SMLU7850451",            0,
         809,            0,          771,"SMLU7825398",            0,
         810,            0,          772,"SMLU7821411",            0,
         811,            0,          773,"SMLU7825398",            0,
         812,            0,          396,"SMLU7850934",            0,
         813,            0,          774,"CRXU9117336",            0,
         814,            0,          775,"SMLU7855026",            0,
         815,            0,          776,"SMLU7861008",            0,
         816,            0,          777,"SMLU7868390",            0,
         817,            0,          778,"SMLU2569734",            0,
         818,            0,          779,"UESU5182605",            0,
         819,            0,          780,"BSIU9072499",            0,
         820,            0,          781,"SMLU2550549",            0,
         821,            0,          782,"CRXU9461212",            0,
         822,            0,          783,"SMLU7822341",            0,
         823,            0,          784,"SMLU7861517",            0,
         824,            0,          785,"TGHU9137075",            0,
         825,            0,          786,"SMLU5445716",            0,
         826,            0,          787,"SMLU7877914",            0,
         827,            0,          788,"SMLU7876836",            0,
         828,            0,          789,"SMLU7873713",            0,
         829,            0,          790,"GESU5045208",            0,
         830,            0,          791,"UESU5254109",            0,
         831,            0,          792,"WCIU0355179",            0,
         833,            0,          794,"SMLU7873436",            0,
         834,            0,          793,"SMLU7875758",            0,
         836,            0,          795,"FSCU6959265",            0,
         837,            0,          796,"SMLU7838610",            0,
         838,            0,          797,"SMLU7820159",            0,
         839,            0,          798,"INKU2399479",            0,
         840,            0,          799,"GLDU710772",            0,
         841,            0,          800,"TRLU5775390",            0,
         842,            0,          801,"SMLU7878994",            0,
         843,            0,          802,"TRLU6712648",            0,
         844,            0,          803,"SMLU7831723",            0,
         845,            0,          804,"FSCU6390311",            0,
         846,            0,          805,"CAIU3015876",            0,
         847,            0,          806,"SMLU7866951",            0,
         848,            0,          807,"SMLU7865615",            0,
         849,            0,          808,"BHCU4939794",            0,
         850,            0,          809,"SMLU7858241",            0,
         851,            0,          810,"SMLU7873272",            0,
         852,            0,          811,"SMLU7864861",            0,
         853,            0,          812,"GLDU7156491",            0,
         854,            0,          813,"GVDU5061376",            0,
         855,            0,          814,"CRSU9027518",            0,
         856,            0,          815,"SMLU7881637",            0,
         857,            0,          816,"TTNU9192160",            0,
         858,            0,          818,"FCIU9354638",            0,
         859,            0,          819,"FCIU9365083",            0,
         860,            0,          820,"TRLU5767965",            0,
         861,            0,          821,"SMLU7870062",            0,
         862,            0,          822,"TCKU9048264",            0,
         863,            0,          823,"FCIU8103453",            0,
         864,            0,          824,"SMLU54",            0,
         865,            0,          825,"SMLU5467510",            0,
         866,            0,          826,"SMLU5460114",            0,
         867,            0,          827,"SAXU4908510",            0,
         868,            0,          828,"SMLU7850174",            0,
         869,            0,          829,"SMLU7820267",            0,
         870,            0,          830,"GATU8535245",            0,
         871,            0,          831,"FSCU6843104",            0,
         872,            0,          832,"SMLU7859696",            0,
         873,            0,          833,"BHCU4939794",            0,
         874,            0,          834,"BHCU4939794",            0,
         875,            0,          835,"SMLU7820246",            0,
         876,            0,          836,"FCIU8180038",            0,
         877,            0,          837,"SMLU7869708",            0,
         878,            0,          838,"GVCU5110266",            0,
         879,            0,          839,"SAXU4905697",            0,
         880,            0,          840,"SMLU7855469",            0,
         881,            0,          841,"SMLU7877730",            0,
         882,            0,          842,"SMLU7867460",            0,
         883,            0,          843,"FSCU9841661",            0,
         884,            0,          845,"SMLU7875892",            0,
         885,            0,          846,"TGHU9217550",            0,
         886,            0,          844,"SMLU7873056",            0,
         887,            0,          847,"TTNU9433150",            0,
         888,            0,          848,"SMLU2567330",            0,
         889,            0,          849,"SMLU7861060",            0,
         890,            0,          850,"SMLU7872039",            0,
         891,            0,          851,"SMLU7874670",            0,
         892,            0,          852,"FCIU8102360",            0,
         893,            0,          853,"SMLU7856402",            0,
         894,            0,          854,"SMLU7837716",            0,
         895,            0,          855,"FCIU9373746",            0,
         896,            0,          856,"FCIU8117689",            0,
         897,            0,          857,"FSCU9818872",            0,
         898,            0,          858,"XINU1075900",            0,
         899,            0,          859,"TEXU2459976",            0,
         900,            0,          860,"SMLU7869668",            0,
         901,            0,          861,"FCIU8596766",            0,
         902,            0,          862,"SMLU7869668",            0,
         903,            0,          863,"BSIU9071790",            0,
         904,            0,          864,"SMLU7831235",            0,
         905,            0,          865,"TCKU9749644",            0,
         906,            0,          866,"FCIU8596766",            0,
         907,            0,          867,"CAXU8056566",            0,
         908,            0,          868,"TCNU9796070",            0,
         909,            0,          869,"TCNU9578401",            0,
         910,            0,          870,"SMLU7845455",            0,
         911,            0,          871,"GESU5255781",            0,
         912,            0,          872,"GESU5255781",            0,
         913,            0,          873,"TCNU9086567",            0,
         914,            0,          874,"TRLU5778790",            0,
         915,            0,          875,"SMLU7855962",            0,
         916,            0,          876,"SMLU7835821",            0,
         917,            0,          877,"SMLU7877513",            0,
         918,            0,          878,"SMLU7881262",            0,
         919,            0,          879,"SMLU7893134",            0,
         920,            0,          880,"SMLU7878187",            0,
         921,            0,          881,"SMLU2540263",            0,
         922,            0,          882,"SMLU7824365",            0,
         923,            0,          883,"GATU1321621",            0,
         924,            0,          884,"UESU4556104",            0,
         925,            0,          885,"AMFU8600068",            0,
         926,            0,          886,"FCIU8253601",            0,
         927,            0,          887,"SEGU4015672",            0,
         928,            0,          888,"SMLU7870695",            0,
         929,            0,          889,"CAIU8982858",            0,
         930,            0,          890,"SMLU7863799",            0,
         931,            0,          891,"FCIU2705031",            0,
         932,            0,          892,"FCIU2688079",            0,
         933,            0,          893,"GLDU7661132",            0,
         934,            0,          894,"SMLU7862072",            0,
         935,            0,          895,"SMLU7889031",            0,
         936,            0,          896,"SMLU7889392",            0,
         937,            0,          897,"SMLU2561543",            0,
         938,            0,          898,"FCIU8628919",            0,
         939,            0,          899,"FCIU8628919",            0,
         940,            0,          900,"CAXU9348080",            0,
         941,            0,          901,"SMLU7861306",            0,
         942,            0,          902,"SMLU7867515",            0,
         943,            0,          903,"CRXU9750405",            0,
         944,            0,          904,"SMLU7826780",            0,
         945,            0,          905,"SMLU7831148",            0,
         946,            0,          906,"GESU4995166",            0,
         947,            0,          907,"TCNU9838005",            0,
         948,            0,          908,"SMLU7870859",            0,
         949,            0,          909,"SMLU7854117",            0,
         950,            0,          910,"FCIU8506227",            0,
         951,            0,          911,"SMLU7869400",            0,
         953,            0,          912,"SMLU2564239",            0,
         954,            0,          913,"CLHU8048912",            0,
         955,            0,          914,"TCNU9124306",            0,
         956,            0,          915,"SMLU7889915",            0,
         957,            0,          916,"SMLU7877529",            0,
         958,            0,          917,"SMLU7867080",            0,
         959,            0,          918,"SMLU7818716",            0,
         960,            0,          919,"SMLU7867080",            0,
         961,            0,          920,"GLDU2213027",            0,
         962,            0,          921,"SMLU7876986",            0,
         963,            0,          922,"CAIU2240445",            0,
         964,            0,          923,"FCIU8014335",            0,
         965,            0,          924,"TTNU2280552",            0,
         966,            0,          925,"SMLU7868358",            0,
         967,            0,          926,"SMLU7878757",            0,
         968,            0,          927,"SMLU7902426",            0,
         969,            0,          928,"TTNU2720409",            0,
         970,            0,          929,"SMLU7871201",            0,
         971,            0,          930,"CXDU1959069",            0,
         972,            0,          931,"TEMU2375911",            0,
         973,            0,          932,"SMLU2561841",            0,
         974,            0,          933,"SMLU7884106",            0,
         975,            0,          934,"SMLU7870592",            0,
         976,            0,          935,"CLHU9004143",            0,
         977,            0,          936,"SMLU7884960",            0,
         979,            0,          937,"TCNU9701440",            0,
         980,            0,          938,"SMLU7867372",            0,
         982,            0,          939,"SMLU7844783",            0,
         983,            0,          940,"SMLU7888863",            0,
         984,            0,          941,"SMLU7879692",            0,
         985,            0,          942,"SMLU7854462",            0,
         986,            0,          943,"FSCU7308376",            0,
         987,            0,          944,"CLHU8814514",            0,
         988,            0,          945,"SMLU7903335",            0,
         989,            0,          946,"SMLU7838923",            0,
         990,            0,          947,"SMLU7843956",            0,
         991,            0,          948,"SMLU7875228",            0,
         992,            0,          949,"FCIU8427581",            0,
         993,            0,          950,"FSCU9795294",            0,
         994,            0,          951,"SMLU2571963",            0,
         995,            0,          952,"SMLU7891173",            0,
         996,            0,          953,"SMLU7884066",            0,
         997,            0,          954,"FSCU9140276",            0,
         998,            0,          955,"TRLU8137023",            0,
         999,            0,          956,"SMLU7845563",            0,
        1000,            0,          957,"FCIU8115475",            0,
        1001,            0,          958,"FSCU7557126",            0,
        1002,            0,          959,"SMLU7896663",            0,
        1006,            0,          960,"INKU2376196",            0,
        1007,            0,          961,"TGHU9168292",            0,
        1008,            0,          962,"SMLU7868609",            0,
        1009,            0,          963,"SMLU7845199",            0,
        1011,            0,          965,"AMFU8911603",            0,
        1012,            0,          966,"SMLU7905390",            0,
        1013,            0,          967,"SMLU7858684",            0,
        1014,            0,          968,"CAXU3275197",            0,
        1015,            0,          969,"FCIU8085750",            0,
        1016,            0,          970,"FSCU5656006",            0,
        1017,            0,          971,"XINU1074797",            0,
        1018,            0,          972,"SMLU7861348",            0,
        1019,            0,          973,"TCNU9058903",            0,
        1020,            0,          974,"SMLU7850087",            0,
        1021,            0,          975,"TCNU9256489",            0,
        1023,            0,          977,"SMLU7843616",            0,
        1024,            0,          978,"SMLU7872511",            0,
        1026,            0,          979,"FCIU8830323",            0,
        1027,            0,          980,"GLDU0704037",            0,
        1028,            0,          981,"TRLU5834301",            0,
        1029,            0,          982,"FCIU8049814",            0,
        1030,            0,          983,"SMLU7905976",            0,
        1031,            0,          984,"TGHU8680513",            0,
        1032,            0,          985,"TTNU3740204",            0,
        1033,            0,          986,"SMLU7877797",            0,
        1034,            0,          987,"SMLU7877977",            0,
        1035,            0,          988,"CAXU8076515",            0,
        1036,            0,          989,"FCIU2133260",            0,
        1037,            0,          990,"SMLU7897799",            0,
        1038,            0,          991,"SMLU7869138",            0,
        1039,            0,          992,"CAXU8091720",            0,
        1040,            0,          993,"FSCU3260295",            0,
        1041,            0,          994,"FSCU6278235",            0,
        1042,            0,          995,"FCIU8722524",            0,
        1043,            0,          996,"IPXU3125450",            0,
        1044,            0,          997,"SMLU7833034",            0,
        1045,            0,          998,"TCNU6223563",            0,
        1046,            0,          999,"SMLU7834851",            0,
        1047,            0,         1000,"TCNU6019821",            0,
        1049,            0,         1001,"SMLU7860969",            0,
        1050,            0,         1002,"TCKU2744609",            0,
        1051,            0,         1003,"SMLU7826394",            0,
        1052,            0,         1004,"CRXU9969878",            0,
        1053,            0,         1005,"FCIU9352682",            0,
        1054,            0,         1006,"GSTU8893332",            0,
        1055,            0,         1008,"SMLU7864244",            0,
        1056,            0,         1009,"SMLU7861327",            0,
        1058,            0,         1010,"CAXU9855253",            0,
        1059,            0,         1011,"GATU8532117",            0,
        1060,            0,         1012,"SMLU7903905",            0,
        1061,            0,         1013,"SMLU7844314",            0,
        1063,            0,         1014,"CAXU9855253",            0,
        1064,            0,         1015,"FCIU8342720",            0,
        1067,            0,         1018,"TCNU9892372",            0,
        1068,            0,         1019,"CXDU1778902",            0,
        1069,            0,         1020,"SMLU7900315",            0,
        1070,            0,         1021,"SMLU7876100",            0,
        1071,            0,         1022,"SMLU7894866",            0,
        1072,            0,         1023,"TCKU9872561",            0,
        1073,            0,         1024,"CRXU9962580",            0,
        1074,            0,         1025,"SMLU7843513",            0,
        1075,            0,         1026,"SMLU7872173",            0,
        1076,            0,         1027,"SMLU7866838",            0,
        1077,            0,         1028,"FCIU9239803",            0,
        1078,            0,         1029,"GLDU7438920",            0,
        1080,            0,         1031,"TRLU6918304",            0,
        1081,            0,         1032,"SMLU7904537",            0,
        1082,            0,         1033,"SMLU7864774",            0,
        1083,            0,         1034,"SMLU7867351",            0,
        1085,            0,         1035,"SMLU7831174",            0,
        1086,            0,         1036,"FSCU9479927",            0,
        1087,            0,         1037,"SMLU7839621",            0,
        1088,            0,         1038,"CAX",            0,
        1089,            0,         1039,"CAXU9041494",            0,
        1090,            0,         1040,"SMLU7890557",            0,
        1091,            0,         1041,"TCNU9027538",            0,
        1092,            0,         1042,"SMLU7868168",            0,
        1093,            0,         1043,"SMLU7909631",            0,
        1094,            0,         1044,"SMLU7898537",            0,
        1096,            0,         1046,"CAXU8003294",            0,
        1097,            0,         1047,"SMLU7865277",            0,
        1098,            0,         1048,"SMLU5461471",            0,
        1099,            0,         1049,"TCNU6047567",            0,
        1100,            0,         1050,"SMLU7852731",            0,
        1101,            0,         1051,"SMLU7904922",            0,
        1102,            0,         1052,"TGHU3380724",            0,
        1105,            0,         1053,"SMLU7906205",            0,
        1106,            0,         1054,"SMLU7914854",            0,
        1107,            0,         1055,"GLDU7445869",            0,
        1108,            0,         1056,"SMLU7889598",            0,
        1109,            0,         1057,"SMLU2561271",            0,
        1110,            0,         1058,"SMLU781717",            0,
        1111,            0,         1059,"SMLU7817176",            0,
        1112,            0,         1060,"SMLU2560866",            0,
        1113,            0,         1061,"SMLU7880667",            0,
        1118,            0,         1064,"SMLU4342574",            0,
        1119,            0,         1063,"FCIU2839323",            0,
        1120,            0,         1066,"SMLU",            0,
        1121,            0,         1067,"SMLU7869415",            0,
        1122,            0,         1068,"TCNU9148669",            0,
        1123,            0,         1069,"SMLU7878037",            0,
        1124,            0,         1070,"TCKU2698329",            0,
        1125,            0,         1071,"GESU4615965",            0,
        1126,            0,         1072,"SMLU2563680",            0,
        1127,            0,         1073,"SMLU7863588",            0,
        1128,            0,         1074,"TCKU2950770",            0,
        1129,            0,         1075,"TGHU7741363",            0,
        1130,            0,         1076,"CAXU9934820",            0,
        1131,            0,         1077,"SMLU7866479",            0,
        1133,            0,         1078,"SMLU2580121",            0,
        1134,            0,         1079,"TCNU6156932",            0,
        1135,            0,         1080,"SMLU7854950",            0,
        1136,            0,         1081,"GLDU7442469",            0,
        1137,            0,         1082,"TGHU8922936",            0,
        1138,            0,         1083,"GESU2482903",            0,
        1139,            0,         1084,"TCNU9834714",            0,
        1140,            0,         1085,"SMLU7917529",            0,
        1141,            0,         1086,"SMLU7853281",            0,
        1142,            0,         1087,"SMLU7888919",            0,
        1143,            0,         1088,"SMLU7856130",            0,
        1144,            0,         1089,"FCIU3904151",            0,
        1145,            0,         1090,"XINU8",            0,
        1146,            0,         1091,"XINU8196987",            0,
        1147,            0,         1092,"SMLU7889685",            0,
        1149,            0,         1094,"SMLU7915491",            0,
        1150,            0,         1095,"SMLU7886177",            0,
        1151,            0,         1096,"SMLU7861440",            0,
        1152,            0,         1097,"SMLU7889690",            0,
        1155,            0,         1098,"CAXU9348080",            0,
        1156,            0,         1099,"SMLU7911480",            0,
        1157,            0,         1100,"FCIU8010880",            0,
        1159,            0,         1102,"FCIU3478879",            0,
        1160,            0,         1103,"SMLU2554966",            0,
        1161,            0,         1104,"SMLU7907921",            0,
        1162,            0,         1105,"SMLU7846472",            0,
        1163,            0,         1106,"SMLU7836860",            0,
        1164,            0,         1107,"SMLU3106760",            0,
        1165,            0,         1108,"SMLU7856486",            0,
        1166,            0,         1109,"TCKU9388855",            0,
        1167,            0,         1110,"SMLU2721997",            0,
        1168,            0,         1101,"TCKU9388855",            0,
        1169,            0,         1112,"SMLU7908764",            0,
        1170,            0,         1113,"SMLU7901749",            0,
        1171,            0,         1114,"SMLU7848053",            0,
        1172,            0,         1115,"SMLU7851273",            0,
        1173,            0,         1116,"SMLU2540643",            0,
        1174,            0,         1117,"SMLU7915697",            0,
        1175,            0,         1119,"SMLU2543410",            0,
        1176,            0,         1121,"SMLU7866479",            0,
        1177,            0,         1122,"SMLU7888586",            0,
        1178,            0,         1123,"SMLU7927300",            0,
        1179,            0,         1124,"TCNU6223732",            0,
        1180,            0,         1125,"SMLU7910859",            0,
        1181,            0,         1126,"SMLU7876585",            0,
        1183,            0,         1127,"CLHU8989322",            0,
        1184,            0,         1128,"SMLU2548921",            0,
        1185,            0,         1129,"SMLU788492",            0,
        1186,            0,         1130,"SMLU7884929",            0,
        1187,            0,         1131,"XINU8085303",            0,
        1188,            0,         1132,"SMLU7890080",            0,
        1189,            0,         1133,"SMLU2542733",            0,
        1190,            0,         1134,"FSCU9929942",            0,
        1191,            0,         1135,"SMLU7899338",            0,
        1192,            0,         1093,"CAXU9348080",            0,
        1193,            0,         1136,"SMLU7879100",            0,
        1194,            0,         1137,"SMLU7891933",            0,
        1195,            0,         1138,"TCNU9546148",            0,
        1196,            0,         1139,"SMLU7848916",            0,
        1197,            0,         1140,"SMLU7853065",            0,
        1198,            0,         1141,"SMLU3104182",            0,
        1199,            0,         1142,"SMLU7906355",            0,
        1200,            0,         1143,"FCIU8846952",            0,
        1201,            0,         1144,"SMLU7857862",            0,
        1202,            0,         1145,"TCKU9053213",            0,
        1203,            0,         1147,"SEGU4015137",            0,
        1204,            0,         1148,"SMLU7909903",            0,
        1205,            0,         1149,"SMLU7825654",            0,
        1206,            0,         1151,"FCIU9345024",            0,
        1207,            0,         1150,"SMLU7910078",            0,
        1208,            0,         1152,"FSCU9802808",            0,
        1209,            0,         1153,"SMLU7816945",            0,
        1210,            0,         1154,"BSIU9063590",            0,
        1211,            0,         1155,"SMLU7882757",            0,
        1212,            0,         1156,"TTNU1626574",            0,
        1213,            0,         1158,"TGHU8909467",            0,
        1214,            0,         1159,"BSIU9069582",            0,
        1215,            0,         1160,"GLDU7205554",            0,
        1216,            0,         1161,"SMLU7911752",            0,
        1217,            0,         1162,"SMLU7850976",            0,
        1218,            0,         1157,"SMLU7906680",            0,
        1219,            0,         1163,"SMLU7869122",            0,
        1220,            0,         1164,"SMLU7860090",            0,
        1221,            0,         1165,"FCIU8078617",            0,
        1223,            0,         1166,"SMLU7882280",            0,
        1224,            0,         1167,"SMLU7901414",            0,
        1225,            0,         1168,"SMLU7834738",            0,
        1226,            0,         1169,"SMLU4579473",            0,
        1227,            0,         1170,"CAIU8036399",            0,
        1228,            0,         1171,"SMLU7902581",            0,
        1229,            0,         1172,"SMLU7871496",            0,
        1230,            0,         1173,"SMLU7926583",            0,
        1231,            0,         1174,"TGHU7927928",            0,
        1232,            0,         1175,"TCNU9291216",            0,
        1233,            0,         1176,"FSCU9937758",            0,
        1234,            0,         1177,"SMLU7837866",            0,
        1235,            0,         1178,"SMLU2556742",            0,
        1236,            0,         1179,"SMLU7880522",            0,
        1237,            0,         1180,"SMLU7927804",            0,
        1238,            0,         1181,"SMLU7821427",            0,
        1239,            0,         1182,"FSCU6513273",            0,
        1240,            0,         1183,"SMLU7864666",            0,
        1241,            0,         1184,"SMLU7852897",            0,
        1242,            0,         1185,"SMLU2556296",            0,
        1243,            0,         1186,"SMLU2556296",            0,
        1244,            0,         1187,"FSCU9734914",            0,
        1245,            0,         1188,"SMLU7877175",            0,
        1246,            0,         1189,"FSCU6901005",            0,
        1247,            0,         1190,"SMLU7915887",            0,
        1248,            0,         1191,"SMLU7825211",            0,
        1249,            0,         1192,"CRXU1722310",            0,
        1250,            0,         1193,"SMLU7857939",            0,
        1251,            0,         1194,"SMLU7866890",            0,
        1252,            0,         1195,"SMLU7866890",            0,
        1253,            0,         1196,"SMLU7866890",            0,
        1254,            0,         1197,"SMLU2565092",            0,
        1255,            0,         1198,"SMLU7924493",            0,
        1256,            0,         1199,"SMLU7821284",            0,
        1257,            0,         1200,"SMLU7919054",            0,
        1258,            0,         1201,"SMLU7894866",            0,
        1259,            0,         1202,"SMLU2567182",            0,
        1260,            0,         1203,"GESU5260197",            0,
        1261,            0,         1204,"SMLU7885859",            0,
        1263,            0,         1206,"SMLU2579141",            0,
        1264,            0,         1207,"FSCU6985942",            0,
        1265,            0,         1205,"SMLU7880820",            0,
        1267,            0,         1208,"SMLU7941504",            0,
        1268,            0,         1209,"SMLU7835971",            0,
        1269,            0,         1210,"TCKU9208233",            0,
        1270,            0,         1211,"SMLU7857060",            0,
        1272,            0,         1213,"SMLU7937762",            0,
        1273,            0,         1214,"SMLU7939256",            0,
        1274,            0,         1215,"SMLU7937762",            0,
        1275,            0,         1216,"SMLU7835971",            0,
        1276,            0,         1217,"TCKU9208233",            0,
        1277,            0,         1218,"SMLU7835626",            0,
        1278,            0,         1219,"CXDU1780129",            0,
        1280,            0,         1220,"SMLU7872403",            0,
        1281,            0,         1221,"SMLU7862560",            0,
        1282,            0,         1222,"SMLU7914237",            0,
        1283,            0,         1223,"SMLU7862088",            0,
        1284,            0,         1224,"SMLU7868492",            0,
        1285,            0,         1225,"SMLU2568131",            0,
        1286,            0,         1226,"CAXU9927970",            0,
        1287,            0,         1227,"SMLU7860059",            0,
        1288,            0,         1228,"SMLU7902350",            0,
        1289,            0,         1229,"SMLU7873626",            0,
        1290,            0,         1230,"SMLU7921365",            0,
        1291,            0,         1231,"TEMU9248842",            0,
        1292,            0,         1232,"SMLU7868384",            0,
        1293,            0,         1233,"SMLU7900172",            0,
        1294,            0,         1234,"SMLU7923394",            0,
        1295,            0,         1235,"SMLU7864732",            0,
        1296,            0,         1236,"TGHU3851320",            0,
        1297,            0,         1237,"SMLU7885484",            0,
        1298,            0,         1238,"SMLU7844",            0,
        1299,            0,         1239,"SMLU7844124",            0,
        1300,            0,         1240,"SEGU4015667",            0,
        1301,            0,         1241,"SMLU7888420",            0,
        1302,            0,         1242,"CRSU9102951",            0,
        1303,            0,         1243,"SMLU7829367",            0,
        1304,            0,         1244,"SMLU7876055",            0,
        1305,            0,         1245,"SMLU2573502",            0,
        1306,            0,         1246,"FCUI8231351",            0,
        1307,            0,         1247,"CRXU1151606",            0,
        1308,            0,         1248,"SMLU7867618",            0,
        1309,            0,         1249,"BSIU9455585",            0,
        1310,            0,         1250,"SMLU7904959",            0,
        1311,            0,         1251,"GESU5181082",            0,
        1312,            0,         1252,"TGHU9150230",            0,
        1313,            0,         1253,"SMLU2551904",            0,
        1314,            0,         1254,"SMLU7923394",            0,
        1315,            0,         1255,"SMLU7915803",            0,
        1316,            0,         1256,"SMLU7939549",            0,
        1317,            0,         1257,"SMLU7868975",            0,
        1318,            0,         1258,"SMLU2554734",            0,
        1319,            0,         1259,"SMLU7910988",            0,
        1321,            0,         1260,"SMLU7913565",            0,
        1322,            0,         1261,"SMLU7877940",            0,
        1323,            0,         1262,"SMLU2591933",            0,
        1325,            0,         1263,"AMFU8659657",            0,
        1326,            0,         1264,"SMLU7847843",            0,
        1327,            0,         1265,"SMLU4102060",            0,
        1328,            0,         1266,"SMLU7874983",            0,
        1329,            0,         1267,"SMLU7887466",            0,
        1330,            0,         1268,"SMLU7867325",            0,
        1331,            0,         1269,"SMLU7870268",            0,
