"Rec No","Voyconid","Voyconvgeptr","Voyconcontainer","Voyconportorigin","Seal"
         145,            0,          140,"SMLU7812533",            0,
         146,            0,          109,"AMFU8526356",            0,
         147,            0,          141,"SMLU8490452",            0,
         148,            0,          142,"SMLU7857672",            0,
         149,            0,          143,"SMLU7821685",            0,
         150,            0,          144,"TRIU9264584",            0,
         151,            0,          145,"ZIMU2513491",            0,
         152,            0,          146,"GSTU9877357",            0,
         153,            0,          147,"ZIMU1170593",            0,
         154,            0,          148,"GESU4885507",            0,
         155,            0,          149,"SESY4205695",            0,
         156,            0,          150,"SMLU7804482",            0,
         157,            0,          151,"SMLU7857477",            0,
         158,            0,          152,"SMLU7823369",            0,
         159,            0,          153,"SMLU7856423",            0,
         160,            0,          154,"TRLU5524311",            0,
         161,            0,          155,"TTNU9793670",            0,
         162,            0,          156,"SMLU7810295",            0,
         163,            0,          157,"SMLU7824703",            0,
         164,            0,          158,"SMLU7837017",            0,
         165,            0,          159,"SMLU7848710",            0,
         166,            0,          160,"SMLU7846180",            0,
         167,            0,          161,"ZIMU2795570",            0,
         168,            0,          162,"SMLU7813139",            0,
         169,            0,          163,"SMLU7817319",            0,
         170,            0,          164,"SMLU7855978",            0,
         171,            0,          165,"SMLU7833095",            0,
         172,            0,          166,"TCKU9002849",            0,
         173,            0,          167,"SMLU7828015",            0,
         174,            0,          168,"SMLU7843658",            0,
         175,            0,          169,"FSCU6263277",            0,
         176,            0,          170,"TCNU9500506",            0,
         177,            0,          171,"SMLU7829161",            0,
         178,            0,          172,"CLHU862486",            0,
         179,            0,          173,"SMLU7818110",            0,
         180,            0,          174,"GESU4994600",            0,
         181,            0,          175,"TTNU9419280",            0,
         182,            0,          176,"CLHU8411294",            0,
         183,            0,          177,"AMFU8462400",            0,
         184,            0,          178,"SMLU7802495",            0,
         185,            0,          179,"SCZU3970664",            0,
         186,            0,          180,"SMLU7854755",            0,
         187,            0,          181,"SMLU7853110",            0,
         188,            0,          183,"USEU5243450",            0,
         189,            0,          182,"AMFU8587259",            0,
         190,            0,          184,"SMLU7851170",            0,
         191,            0,          185,"SMLU7834091",            0,
         192,            0,          186,"TEXU3971251",            0,
         193,            0,          187,"XXXX8086320",            0,
         194,            0,          188,"SMLU7830373",            0,
         195,            0,          189,"SMLU7837832",            0,
         196,            0,          190,"TCKU9440423",            0,
         197,            0,          191,"SMLU7831641",            0,
         198,            0,          192,"SMLU7828571",            0,
         199,            0,          193,"FCIU8097345",            0,
         200,            0,          194,"SMLU7841866",            0,
         201,            0,          195,"SMLU7805540",            0,
         202,            0,          196,"SMLU7845157",            0,
         203,            0,          197,"SMLU7832268",            0,
         204,            0,          198,"GLDU0514741",            0,
         205,            0,          199,"SMLU7860280",            0,
         206,            0,          200,"AMZU8382475",            0,
         207,            0,          201,"CRSU1061455",            0,
         208,            0,          202,"ZCSU8368004",            0,
         209,            0,          203,"ZIMU1024860",            0,
         210,            0,          204,"GSLU2049731",            0,
         211,            0,          205,"ZCSU8257042",            0,
         212,            0,          206,"SMLU7823883",            0,
         213,            0,          207,"SMLU7851669",            0,
         214,            0,          208,"ZCSU8730432",            0,
         215,            0,          209,"TTNU9381586",            0,
         216,            0,          210,"CAIU8050463",            0,
         217,            0,          211,"TTNU9346190",            0,
         218,            0,          212,"ZCSU8675253",            0,
         219,            0,          213,"SMLU782450",            0,
         220,            0,          214,"TRLU5308919",            0,
         221,            0,          215,"TTNU9655115",            0,
         222,            0,          216,"NOUN2256290",            0,
         223,            0,          217,"TCKU9773390",            0,
         224,            0,          218,"CAXU9826770",            0,
         225,            0,          219,"SMLU7828587",            0,
         226,            0,          220,"FCSU6731803",            0,
