"Rec No","Vesid","Vescode","Vesname","Vesowner","Vesmaxgrt","Vesmaxnrt","Veslength","Vesmaxdraught","Vesmaxbeam","Vesoperator","Vesregcity","Veslloydnumber","Vesshpconf","Vesbowthrust","Vesnationality","Vesdatebuilt","Vescallsign","Vesofficalnumber"
57,36,"ZIM       ","ZM MEDITERRANEAN                                  ",0,"0","0","0.00","0.00","0.00","                              ","                              ","                    ","                         ",0,"                              ",0,"                    ","                    "
58,37,"SP        ","SPICA 174                                         ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9449699             ","                         ",0,"                              ",0,"                    ","                    "
62,38,"          ","PACIFIC VOYAGER/43                                ",0,"0","0","0.00","0.00","0.00","                              ","                              ","                    ","                         ",0,"                              ",0,"                    ","                    "
63,39,"          ","SPICA 106                                         ",0,"0","0","0.00","0.00","0.00","                              ","                              ","                    ","                         ",0,"                              ",0,"                    ","                    "
64,40,"ST        ","STADT RENDSBURG                                   ",0,"0","0","0.00","0.00","0.00","                              ","                              ","                    ","                         ",0,"                              ",0,"                    ","                    "
65,41,"          ","SPICA 107                                         ",0,"0","0","0.00","0.00","0.00","                              ","                              ","                    ","                         ",0,"                              ",0,"                    ","                    "
66,42,"          ","SBD. INTERPID 700S                                ",0,"0","0","0.00","0.00","0.00","                              ","                              ","                    ","                         ",0,"                              ",0,"                    ","                    "
67,43,"SB 701S   ","SBD INTREPID 701S                                 ",0,"0","0","0.00","0.00","0.00","                              ","                              ","                    ","                         ",0,"                              ",0,"                    ","                    "
68,44,"S         ","S.SPIRIT                                          ",0,"0","0","0.00","0.00","0.00","                              ","                              ","                    ","                         ",0,"                              ",0,"                    ","                    "
69,45,"          ","VLIET TRADER/68                                   ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9395109             ","                         ",0,"                              ",0,"                    ","                    "
70,46,"SP109     ","SPICA V160                                        ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9449699             ","                         ",0,"                              ",0,"                    ","                    "
72,47,"PV        ","PACIFIC VOYAGER                                   ",0,"0","0","0.00","0.00","0.00","                              ","                              ","                    ","                         ",0,"                              ",0,"                    ","                    "
73,48,"SB/CR     ","SEABOARD COSTA RICA                               ",0,"0","0","0.00","0.00","0.00","                              ","                              ","                    ","                         ",0,"                              ",0,"                    ","                    "
74,49,"          ","STADT ROTENBURG                                   ",0,"0","0","0.00","0.00","0.00","                              ","                              ","                    ","                         ",0,"                              ",0,"                    ","                    "
75,50,"50        ","GREETSIEL                                         ",0,"0","0","0.00","0.00","0.00","                              ","                              ","                    ","                         ",0,"                              ",0,"                    ","                    "
76,51,"WD        ","WARNOW DOLPHIN/17                                 ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9395070             ","                         ",0,"                              ",0,"                    ","                    "
79,52,"HK        ","Hansa Kirkenes/19                                 ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9241449             ","                         ",0,"                              ",0,"                    ","                    "
81,53,"          ","SPICA 197                                         ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9449699             ","                         ",0,"                              ",0,"                    ","                    "
82,54,"SG/24     ","STADT GOTHA/24                                    ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9395135             ","                         ",0,"                              ",0,"                    ","                    "
83,55,"SB/R      ","SEABOARD RANGER/128S                              ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9383297             ","                         ",0,"                              ",0,"                    ","                    "
84,56,"          ","HANSA KIRKENES/10                                 ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9323493             ","                         ",0,"                              ",0,"                    ","                    "
85,57,"HK        ","HANSA KRISTIANSAND/3                              ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9226815             ","                         ",0,"                              ",0,"                    ","                    "
86,58,"AM        ","ASAIN MOON V 75                                   ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9359117             ","                         ",0,"                              ",0,"                    ","                    "
87,59,"STG       ","STADT GERA/24                                     ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9395094             ","                         ",0,"                              ",0,"                    ","                    "
88,60,"AM/S/SUN  ","Asain Moon/SB/Sun                                 ",0,"0","0","0.00","0.00","0.00","                              ","                              ","                    ","                         ",0,"                              ",0,"                    ","                    "
89,61,"W/W       ","WARNOW WHALE/89                                   ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9395032             ","                         ",0,"                              ",0,"                    ","                    "
90,62,"          ","SPICA 171                                         ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9449699             ","                         ",0,"                              ",0,"                    ","                    "
92,63,"          ","SPICA 172                                         ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9449699             ","                         ",0,"                              ",0,"                    ","                    "
93,64,"          ","WARNOW WHALE                                      ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9395032             ","                         ",0,"                              ",0,"                    ","                    "
101,65,"HA        ","HANSA ARENDAL25                                   ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9221059             ","                         ",0,"                              ",0,"                    ","                    "
103,66,"9449687   ","ZIM PIRAEUS                                       ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9449687             ","                         ",0,"                              ",0,"                    ","                    "
105,67,"G/BURG    ","GLUECKBURG/10                                     ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9403437             ","                         ",0,"                              ",0,"                    ","                    "
106,68,"G/BURG    ","GLUECKBURG/1                                      ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9406960             ","                         ",0,"                              ",0,"                    ","                    "
107,69,"          ","HERMANN HESSE/4                                   ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9323493             ","                         ",0,"                              ",0,"                    ","                    "
108,70,"HH        ","HERMANN HESSE/10                                  ",0,"0","0","0.00","0.00","0.00","                              ","                              ","9323493             ","                         ",0,"                              ",0,"                    ","                    "
