"Rec No","Id","Date","Time","Comments"
132,131,77880,3391518,"TDCC 309 B/L Export - Customs                                                   "
133,132,77880,4844103,"TDCC 309 B/L Export - Customs                                                   "
134,133,77883,5722810,"TDCC 309 B/L Export - Customs                                                   "
135,134,77883,5745385,"TDCC 309 B/L Export - Customs                                                   "
136,135,77883,5797262,"TDCC 309 B/L Export - Customs                                                   "
137,136,77887,5577439,"TDCC 309 B/L Export - Customs                                                   "
138,137,77887,5649135,"TDCC 309 B/L Export - Customs                                                   "
139,138,77887,5795143,"TDCC 309 B/L Export - Customs                                                   "
140,139,77887,5806430,"TDCC 309 B/L Export - Customs                                                   "
141,140,77887,5836081,"TDCC 309 B/L Export - Customs                                                   "
142,141,77887,5856746,"TDCC 309 B/L Export - Customs                                                   "
143,142,77887,5870723,"TDCC 309 B/L Export - Customs                                                   "
144,143,77887,5901723,"TDCC 309 B/L Export - Customs                                                   "
145,144,77890,5795005,"TDCC 309 B/L Export - Customs                                                   "
146,145,77890,5882451,"TDCC 309 B/L Export - Customs                                                   "
147,146,77894,5713104,"TDCC 309 B/L Export - Customs                                                   "
148,147,77894,5764710,"TDCC 309 B/L Export - Customs                                                   "
149,148,77894,5769691,"TDCC 309 B/L Export - Customs                                                   "
150,149,77894,5818254,"TDCC 309 B/L Export - Customs                                                   "
151,150,77894,5843408,"TDCC 309 B/L Export - Customs                                                   "
152,151,77894,5856469,"TDCC 309 B/L Export - Customs                                                   "
153,152,77894,5864645,"TDCC 309 B/L Export - Customs                                                   "
154,153,77894,5947925,"TDCC 309 B/L Export - Customs                                                   "
155,154,77901,4620954,"TDCC 309 B/L Export - Customs                                                   "
156,155,77901,4804519,"TDCC 309 B/L Export - Customs                                                   "
157,156,77901,5725932,"TDCC 309 B/L Export - Customs                                                   "
158,157,77901,5778567,"TDCC 309 B/L Export - Customs                                                   "
159,158,77901,5781378,"TDCC 309 B/L Export - Customs                                                   "
160,159,77905,3580279,"TDCC 309 B/L Export - Customs                                                   "
161,160,77905,3599816,"TDCC 309 B/L Export - Customs                                                   "
162,161,77907,5146092,"TDCC 309 B/L Export - Customs                                                   "
163,162,77907,5231189,"TDCC 309 B/L Export - Customs                                                   "
164,163,77915,3559546,"TDCC 309 B/L Export - Customs                                                   "
165,164,77919,4287224,"TDCC 309 B/L Export - Customs                                                   "
166,165,77919,4402412,"TDCC 309 B/L Export - Customs                                                   "
167,166,77919,4607738,"TDCC 309 B/L Export - Customs                                                   "
168,167,77919,4662274,"TDCC 309 B/L Export - Customs                                                   "
169,168,77919,4682023,"TDCC 309 B/L Export - Customs                                                   "
170,169,77921,5388203,"TDCC 309 B/L Export - Customs                                                   "
171,170,77921,5411622,"TDCC 309 B/L Export - Customs                                                   "
172,171,77928,5102225,"TDCC 309 B/L Export - Customs                                                   "
173,172,77928,5130441,"TDCC 309 B/L Export - Customs                                                   "
174,173,77933,4393161,"TDCC 309 B/L Export - Customs                                                   "
175,174,77933,4577000,"TDCC 309 B/L Export - Customs                                                   "
176,175,77936,5300469,"TDCC 309 B/L Export - Customs                                                   "
177,176,77936,5313086,"TDCC 309 B/L Export - Customs                                                   "
178,177,77936,5367118,"TDCC 309 B/L Export - Customs                                                   "
179,178,77936,5393777,"TDCC 309 B/L Export - Customs                                                   "
180,179,77942,3703224,"TDCC 309 B/L Export - Customs                                                   "
181,180,77942,3731693,"TDCC 309 B/L Export - Customs                                                   "
182,181,77947,3865231,"TDCC 309 B/L Export - Customs                                                   "
183,182,77949,4576879,"TDCC 309 B/L Export - Customs                                                   "
184,183,77949,4597273,"TDCC 309 B/L Export - Customs                                                   "
185,184,77957,3674836,"TDCC 309 B/L Export - Customs                                                   "
186,185,77961,3583938,"TDCC 309 B/L Export - Customs                                                   "
187,186,77963,3303456,"TDCC 309 B/L Export - Customs                                                   "
188,187,77963,3552964,"TDCC 309 B/L Export - Customs                                                   "
189,188,77963,4318978,"TDCC 309 B/L Export - Customs                                                   "
190,189,77968,3507654,"TDCC 309 B/L Export - Customs                                                   "
191,190,77971,5420119,"TDCC 309 B/L Export - Customs                                                   "
192,191,77971,5509687,"TDCC 309 B/L Export - Customs                                                   "
193,192,77971,5521546,"TDCC 309 B/L Export - Customs                                                   "
194,193,77971,5613759,"TDCC 309 B/L Export - Customs                                                   "
195,194,77971,5623613,"TDCC 309 B/L Export - Customs                                                   "
196,195,77971,5705989,"TDCC 309 B/L Export - Customs                                                   "
197,196,77971,5713529,"TDCC 309 B/L Export - Customs                                                   "
198,197,77971,5910440,"TDCC 309 B/L Export - Customs                                                   "
199,198,77971,5943239,"TDCC 309 B/L Export - Customs                                                   "
200,199,77975,3894015,"TDCC 309 B/L Export - Customs                                                   "
201,200,77975,4027074,"TDCC 309 B/L Export - Customs                                                   "
202,201,77975,4118278,"TDCC 309 B/L Export - Customs                                                   "
203,202,77978,3993710,"TDCC 309 B/L Export - Customs                                                   "
204,203,77978,4020201,"TDCC 309 B/L Export - Customs                                                   "
205,204,77978,4052832,"TDCC 309 B/L Export - Customs                                                   "
206,205,77978,4173139,"TDCC 309 B/L Export - Customs                                                   "
207,206,77978,4960629,"TDCC 309 B/L Export - Customs                                                   "
208,207,77981,5611126,"TDCC 309 B/L Export - Customs                                                   "
209,208,77984,4741511,"TDCC 309 B/L Export - Customs                                                   "
210,209,77984,5450938,"TDCC 309 B/L Export - Customs                                                   "
211,210,77984,5489421,"TDCC 309 B/L Export - Customs                                                   "
212,211,77992,3993483,"TDCC 309 B/L Export - Customs                                                   "
213,212,77992,4046229,"TDCC 309 B/L Export - Customs                                                   "
214,213,77992,4062665,"TDCC 309 B/L Export - Customs                                                   "
215,214,77995,5265138,"TDCC 309 B/L Export - Customs                                                   "
216,215,77995,5541679,"TDCC 309 B/L Export - Customs                                                   "
217,216,77995,5779273,"TDCC 309 B/L Export - Customs                                                   "
218,217,77995,5788497,"TDCC 309 B/L Export - Customs                                                   "
219,218,77995,5848217,"TDCC 309 B/L Export - Customs                                                   "
220,219,77995,5889960,"TDCC 309 B/L Export - Customs                                                   "
221,220,77999,5030004,"TDCC 309 B/L Export - Customs                                                   "
222,221,77999,5690220,"TDCC 309 B/L Export - Customs                                                   "
223,222,78005,4426796,"TDCC 309 B/L Export - Customs                                                   "
224,223,78005,5067353,"TDCC 309 B/L Export - Customs                                                   "
225,224,78009,5978062,"TDCC 309 B/L Export - Customs                                                   "
226,225,78009,6053934,"TDCC 309 B/L Export - Customs                                                   "
227,226,78009,6096778,"TDCC 309 B/L Export - Customs                                                   "
228,227,78009,6172886,"TDCC 309 B/L Export - Customs                                                   "
229,228,78009,6196025,"TDCC 309 B/L Export - Customs                                                   "
230,229,78009,6215985,"TDCC 309 B/L Export - Customs                                                   "
231,230,78009,6251919,"TDCC 309 B/L Export - Customs                                                   "
232,231,78009,6278970,"TDCC 309 B/L Export - Customs                                                   "
233,232,78012,5243718,"TDCC 309 B/L Export - Customs                                                   "
234,233,78012,5331964,"TDCC 309 B/L Export - Customs                                                   "
235,234,78012,6508908,"TDCC 309 B/L Export - Customs                                                   "
236,235,78012,6514527,"TDCC 309 B/L Export - Customs                                                   "
237,236,78016,5881591,"TDCC 309 B/L Export - Customs                                                   "
238,237,78016,5896779,"TDCC 309 B/L Export - Customs                                                   "
239,238,78016,5933642,"TDCC 309 B/L Export - Customs                                                   "
240,239,78016,5954608,"TDCC 309 B/L Export - Customs                                                   "
241,240,78019,5550421,"TDCC 309 B/L Export - Customs                                                   "
242,241,78020,3857595,"TDCC 309 B/L Export - Customs                                                   "
243,242,78023,5323153,"TDCC 309 B/L Export - Customs                                                   "
244,243,78023,5362782,"TDCC 309 B/L Export - Customs                                                   "
